name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_fftt1
North Scottsdale Road,258,264834599,160,266,,64.83251826,7,35,,primary,3,"LINESTRING (-111.9262837 33.4288957, -111.9262849 33.4289636, -111.9262855 33.4290006, -111.9262931 33.4294787)",auto,0,0.11114146
South Rural Road,259,264834600,156,155,,69.08833804,3,35,,primary,3,"LINESTRING (-111.9263814 33.4245047, -111.926382 33.4244228, -111.9263882 33.4238834)",auto,0,0.118437151
South Rural Road,260,264834600,155,373,,60.21454238,3,35,,primary,3,"LINESTRING (-111.9263882 33.4238834, -111.9263941 33.4233419)",auto,0,0.10322493
South Rural Road,261,264834600,373,263,,66.11979189,3,35,,primary,3,"LINESTRING (-111.9263941 33.4233419, -111.9263983 33.4230018, -111.9264012 33.4227473)",auto,0,0.113348215
,262,264834603,155,153,,65.15297619,1,39,,primary,3,"LINESTRING (-111.9263882 33.4238834, -111.9263051 33.4237541, -111.9263051 33.4234101, -111.9262287 33.4233394)",auto,0,0.100235348
,263,264834603,153,154,,31.55410524,1,39,,primary,3,"LINESTRING (-111.9262287 33.4233394, -111.9261044 33.4233397, -111.9258887 33.4233401)",auto,0,0.048544777
,264,264834604,152,154,,71.05301198,1,39,,primary,3,"LINESTRING (-111.9262331 33.4228357, -111.9261491 33.4231604, -111.926124 33.4232382, -111.9261082 33.4232518, -111.9260663 33.4232876, -111.9258887 33.4233401)",auto,0,0.109312326
West Rio Salado Parkway,265,265805473,116,171,,107.2616399,2,35,,secondary,4,"LINESTRING (-111.9424679 33.4293072, -111.9424408 33.4293282, -111.9424117 33.4293459, -111.9423742 33.4293605, -111.9423052 33.4293832, -111.942233 33.4294013, -111.9421561 33.4294096, -111.9417009 33.4294155, -111.9414991 33.4294319, -111.941344 33.4294485)",auto,0,0.183877097
West Rio Salado Parkway,266,265805473,171,248,,61.71340469,2,35,,secondary,4,"LINESTRING (-111.941344 33.4294485, -111.9412177 33.4294583, -111.9406832 33.4295107)",auto,0,0.105794408
West Rio Salado Parkway,267,265805475,249,169,,51.70340099,1,35,,secondary,4,"LINESTRING (-111.9420775 33.4295382, -111.9421438 33.4295286, -111.9422238 33.4295199, -111.9423924 33.4294854, -111.9424627 33.4294689, -111.9425335 33.4294621, -111.9426236 33.4294744)",auto,0,0.088634402
South Packard Drive,268,265805477,315,158,,105.0170796,1,29,,unclassified,11,"LINESTRING (-111.9293144 33.4297279, -111.9293116 33.4293114, -111.9293075 33.428878, -111.9293051 33.4287835)",auto,1,0.217276716
South Packard Drive,269,265805477,158,315,,105.0170796,1,29,,unclassified,11,"LINESTRING (-111.9293051 33.4287835, -111.9293075 33.428878, -111.9293116 33.4293114, -111.9293144 33.4297279)",auto,1,0.217276716
,270,265805486,173,171,,46.02007674,1,39,,secondary,4,"LINESTRING (-111.9409154 33.429599, -111.9410033 33.4295322, -111.9412737 33.429505, -111.9413273 33.4294836, -111.941344 33.4294485)",auto,0,0.070800118
East University Drive,271,282127136,54,181,,159.5303657,2,35,,secondary,4,"LINESTRING (-111.9349431 33.4220042, -111.9350594 33.4220019, -111.9352505 33.421997, -111.9362677 33.4219925, -111.9365669 33.4219912, -111.9366619 33.4219911)",auto,0,0.273480627
East University Drive,272,282127136,181,182,,137.6668633,2,35,,secondary,4,"LINESTRING (-111.9366619 33.4219911, -111.9367549 33.421991, -111.9371263 33.4219926, -111.9377106 33.421986, -111.9380612 33.4219867, -111.9381452 33.4219872)",auto,0,0.236000337
